index_year	next_year	variable	variable_type	observed_next_n	not_observed_next_n	observed_next_mean	not_observed_next_mean	standardized_mean_difference
2011	2013	age_model	continuous	6230	1110	67.9461	70.6378	-0.3652
2011	2013	female	binary	6230	1110	0.4987	0.4946	0.0082
2011	2013	rural_community	binary	6230	1110	0.6265	0.4604	0.3382
2011	2013	chronic_count	continuous	6224	1105	1.5599	1.6941	-0.0934
2011	2013	any_adl_limitation	binary	6173	1091	0.1492	0.2686	-0.2968
2011	2013	poor_self_rated_health	binary	6220	1100	0.327	0.4145	-0.1819
2011	2013	primary_condition_tcm_any	binary	6230	1110	0.1881	0.2072	-0.0479
2013	2015	age_model	continuous	7400	1081	67.9931	71.4403	-0.4504
2013	2015	female	binary	7400	1081	0.5026	0.4681	0.069
2013	2015	rural_community	binary	7400	1081	0.6265	0.4228	0.4166
2013	2015	chronic_count	continuous	7276	1036	1.6813	1.9054	-0.1457
2013	2015	any_adl_limitation	binary	7380	1071	0.1409	0.2754	-0.3359
2013	2015	poor_self_rated_health	binary	7118	948	0.2786	0.347	-0.148
2013	2015	primary_condition_tcm_any	binary	7400	1081	0.1853	0.1896	-0.0112
2015	2018	age_model	continuous	8297	1517	67.979	71.3454	-0.4469
2015	2018	female	binary	8297	1517	0.5157	0.4548	0.122
2015	2018	rural_community	binary	8297	1517	0.6229	0.4944	0.2609
2015	2018	chronic_count	continuous	7894	1404	2.11	2.4387	-0.1923
2015	2018	any_adl_limitation	binary	8284	1507	0.1685	0.2906	-0.2934
2015	2018	poor_self_rated_health	binary	7911	1216	0.2537	0.3265	-0.1609
2015	2018	primary_condition_tcm_any	binary	8297	1517	0.2114	0.2347	-0.0559
