sequence	trajectory	n	percent
0000	Never	2438	50.99351600083664
0001	Incident and sustained	462	9.66325036603221
0010	Intermittent	275	5.75193474168584
0011	Incident and sustained	164	3.4302447186781007
0100	Intermittent	227	4.747960677682493
0101	Intermittent	111	2.321690023007739
0110	Intermittent	90	1.8824513700062748
0111	Incident and sustained	130	2.719096423342397
1000	Discontinued	250	5.229031583350763
1001	Intermittent	104	2.1752771386739176
1010	Intermittent	88	1.8406191173394688
1011	Intermittent	99	2.070696507006902
1100	Discontinued	90	1.8824513700062748
1101	Intermittent	58	1.213135327337377
1110	Discontinued	69	1.4432127170048108
1111	Persistent	126	2.6354319180087846
