omitted_province	omitted_label	effect	label_extreme
内蒙古自治区	Inner Mongolia	0.96055	TRUE
吉林省	Jilin	1.77914	FALSE
青海省	Qinghai	1.81981	FALSE
山西省	Shanxi	1.87758	FALSE
陕西省	Shaanxi	1.95424	FALSE
河北省	Hebei	1.9777	FALSE
甘肃省	Gansu	1.98573	FALSE
黑龙江省	Heilongjiang	2.02571	FALSE
安徽省	Anhui	2.0382	FALSE
上海市	Shanghai	2.03915	FALSE
河南省	Henan	2.05934	FALSE
湖北省	Hubei	2.06012	FALSE
新疆维吾尔自治区	Xinjiang	2.06109	FALSE
辽宁省	Liaoning	2.08061	FALSE
江西省	Jiangxi	2.08086	FALSE
江苏省	Jiangsu	2.0956	FALSE
浙江省	Zhejiang	2.1032	FALSE
贵州省	Guizhou	2.10462	FALSE
广西壮族自治区	Guangxi	2.10545	FALSE
福建省	Fujian	2.11057	FALSE
湖南省	Hunan	2.11111	FALSE
广东省	Guangdong	2.19277	FALSE
重庆市	Chongqing	2.19941	FALSE
北京市	Beijing	2.20474	FALSE
天津市	Tianjin	2.23328	FALSE
云南省	Yunnan	2.28043	FALSE
山东省	Shandong	2.34036	FALSE
四川省	Sichuan	2.35508	TRUE
