province	year	denominator_population	value_tcm_hospital_beds	value_tcm_practicing_assistant_physicians	value_per_10000_population_tcm_hospital_beds	value_per_10000_population_tcm_practicing_assistant_physicians	tcm_source_id	tcm_source_url	tcm_table_id	health_denominator_population	value_total_health_institution_beds	value_hospital_beds	value_comprehensive_hospital_beds	value_per_10000_population_total_health_institution_beds	value_per_10000_population_hospital_beds	value_per_10000_population_comprehensive_hospital_beds	health_source_id	health_source_url	health_table_id	health_quality_flag	gdp_per_capita_current_yuan	log_gdp_per_capita_current_yuan	urban_population_percent	age_composition_sample_population	age_composition_sample_age_65_plus	population_age_65_plus_percent	gdp_source_id	gdp_table_id	gdp_source_url	gdp_measure_notes	urbanization_source_id	urbanization_table_id	urbanization_source_url	urbanization_measure_notes	aging_source_id	aging_table_id	aging_source_url	aging_measure_notes	extraction_method	quality_flag	denominator_match	z_value_per_10000_population_tcm_hospital_beds	z_value_per_10000_population_tcm_practicing_assistant_physicians	z_value_per_10000_population_comprehensive_hospital_beds	z_value_per_10000_population_hospital_beds	z_log_gdp_per_capita_current_yuan	z_urban_population_percent	z_population_age_65_plus_percent
上海市	2011	23470000	7115	5664	3.03	2.41	natcm_2011_extract_a86	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	A86	23470000	107130	87548	53910	45.64550489987218	37.30208777162335	22.96974861525351	nhc_yearbook_2012_full_pdf	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	3-1-3	scan_transcribed_twice_national_total_verified	82560	11.32128058071539	89.3	20056	1579	7.872955723972876	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed	TRUE	-1.4699226323722017	-0.6744312222708128	-0.5455385147435975	-0.03635107317616328	1.3054785105038018	2.4875184150220755	-0.8537523745757399
云南省	2011	46310000	16156	7138	3.49	1.54	natcm_2011_extract_a86	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	A86	46310000	173434	126318	95776	37.4506586050529	27.276614122219826	20.6814942776938	nhc_yearbook_2012_full_pdf	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	3-1-3	scan_transcribed_twice_national_total_verified	19265	9.866045257060255	36.8	39564	3041	7.686280456981094	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed	TRUE	-1.221372163899171	-1.3446500923474682	-0.9257427846150268	-1.125250916793782	-1.973749271788295	-1.4123340830608044	-0.9368437577918997
内蒙古自治区	2011	24820000	10615	8979	4.28	3.62	natcm_2011_extract_a86	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	A86	24820000	100633	72871	54794	40.545124899274775	29.35979049153908	22.076551168412568	nhc_yearbook_2012_full_pdf	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	3-1-3	scan_transcribed_twice_national_total_verified	57974	10.967749913160826	56.62	21203	1461	6.8905343583455165	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed	TRUE	-0.7945137506520098	0.25771226369786887	-0.6939474907708632	-0.8989902430235593	0.5088323818039104	0.05995308859638956	-1.2910398175591726
北京市	2011	20190000	11824	11398	5.86	5.65	natcm_2011_extract_a86	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	A86	20190000	94735	87596	56312	46.92174343734522	43.385834571570086	27.891035165923725	nhc_yearbook_2012_full_pdf	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	3-1-3	scan_transcribed_twice_national_total_verified	81658	11.31029507277839	86.2	17246	1521	8.8194363910472	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed	TRUE	0.05920307584231233	1.8215562938767316	0.27215649804989545	0.624424783480278	1.280723763114135	2.2572414103733727	-0.43246256429775937
吉林省	2011	27490000	12875	7094	4.68	2.58	natcm_2011_extract_a86	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	A86	27490000	121240	94636	67509	44.1033102946526	34.42560931247726	24.55765732993816	nhc_yearbook_2012_full_pdf	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	3-1-3	scan_transcribed_twice_national_total_verified	38460	10.55737401914277	53.4	23490	2044	8.701575138356747	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed	TRUE	-0.5783829085015488	-0.5434689143247997	-0.28169997914925504	-0.34877491008086403	-0.41590879989508334	-0.1792378646193603	-0.48492401069853086
四川省	2011	80500000	33698	27572	4.19	3.43	natcm_2011_extract_a86	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	A86	80500000	334663	211524	147052	41.57304347826087	26.276273291925463	18.267329192546583	nhc_yearbook_2012_full_pdf	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	3-1-3	scan_transcribed_twice_national_total_verified	26133	10.170954162487002	41.83	68777	8277	12.034546432673714	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed	TRUE	-0.8431431901358636	0.111342625405266	-1.3268677201090224	-1.233901242131444	-1.2866674387055996	-1.0386910722921017	0.9986211826598539
天津市	2011	13550000	5550	4614	4.1	3.41	natcm_2011_extract_a86	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	A86	13550000	49423	40787	23320	36.474538745387456	30.10110701107011	17.210332103321033	nhc_yearbook_2012_full_pdf	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	3-1-3	scan_transcribed_twice_national_total_verified	85213	11.352909283337558	80.5	11577	1131	9.769370303187356	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed	TRUE	-0.8917726296197177	0.0959352950586762	-1.5024927806491906	-0.8184734045760789	1.3767506399460414	1.8338288534386598	-0.009635673539175674
宁夏回族自治区	2011	6390000	2880	1403	4.51	2.2	natcm_2011_extract_a86	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	A86	6390000	25805	22037	17738	40.38341158059468	34.4866979655712	27.758998435054774	nhc_yearbook_2012_full_pdf	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	3-1-3	scan_transcribed_twice_national_total_verified	33043	10.405565022544408	49.82	5463	299	5.47318323265605	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed	TRUE	-0.6702385164154948	-0.8362081909100054	0.2502179713606918	-0.3421398694706122	-0.757995245403335	-0.4451706635362499	-1.9219196734412245
安徽省	2011	59680000	16970	8165	2.84	1.37	natcm_2011_extract_a86	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	A86	59680000	204210	140997	107434	34.217493297587126	23.62550268096515	18.00167560321716	nhc_yearbook_2012_full_pdf	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	3-1-3	scan_transcribed_twice_national_total_verified	25659	10.152649666248893	44.8	50989	5342	10.47676949930377	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed	TRUE	-1.5725847823936707	-1.4756124002934812	-1.3710073191526462	-1.5218102033118066	-1.3279147968676481	-0.8180708452576988	0.3052361283792862
山东省	2011	96370000	40646	18781	4.22	1.95	natcm_2011_extract_a86	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	A86	96370000	416148	280385	205041	43.18231814880149	29.094635259935664	21.27643457507523	nhc_yearbook_2012_full_pdf	https://www.nhc.gov.cn/mohwsbwstjxxzx/tjtjnj/202605/e2ea85f22ed349e78ab5a776dcced4ea.shtml	3-1-3	scan_transcribed_twice_national_total_verified	47335	10.765005258562992	50.95	82336	8854	10.753497862417412	nbs_yearbook_2014_z0315e	3-15	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0315E.xls	Per capita gross regional product at current prices; models include wave fixed effects and use the log value.	nbs_yearbook_2014_z0206e	2-6	https://www.stats.gov.cn/sj/ndsj/2014/zk/html/Z0206E.xls	Proportion of year-end usual-resident population living in urban areas (%).	nbs_yearbook_2012_d0311e	3-11	https://www.stats.gov.cn/sj/ndsj/2012/html/D0311e.xls	Province age structure is estimated from the NBS annual population sample survey for the corresponding year; sampling fractions differ across waves, so this variable is reserved for sensitivity adjustment.	official_nbs_excel_parsed	official_excel_parsed	TRUE	-0.8269333769745792	-1.0287998202423778	-0.8268906431943207	-0.9277896294988837	0.05196750691994199	-0.36123098119656105	0.4284112165245647
