province	year	source	source_name	source_url	source_edition	table_id	table_title	extraction_status	quality_flag	resource_definition	denominator_population	denominator_unit	denominator_source_id	denominator_notes	value_tcm_hospital_beds	value_tcm_practicing_assistant_physicians	value_per_10000_population_tcm_hospital_beds	value_per_10000_population_tcm_practicing_assistant_physicians	rank_tcm_hospital_beds_per_10000	rank_tcm_practicing_assistant_physicians_per_10000	unit_tcm_hospital_beds	unit_tcm_practicing_assistant_physicians	notes
上海市	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	23470000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	7115	5664	3.03	2.41	27	12	beds	persons	Official NATCM Excel table; main core-density supply exposure.
云南省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	46310000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	16156	7138	3.49	1.54	24	28	beds	persons	Official NATCM Excel table; main core-density supply exposure.
内蒙古自治区	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	24820000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	10615	8979	4.28	3.62	10	2	beds	persons	Official NATCM Excel table; main core-density supply exposure.
北京市	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	20190000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	11824	11398	5.86	5.65	1	1	beds	persons	Official NATCM Excel table; main core-density supply exposure.
吉林省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	27490000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	12875	7094	4.68	2.58	8	9	beds	persons	Official NATCM Excel table; main core-density supply exposure.
四川省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	80500000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	33698	27572	4.19	3.43	12	3	beds	persons	Official NATCM Excel table; main core-density supply exposure.
天津市	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	13550000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	5550	4614	4.1	3.41	13	4	beds	persons	Official NATCM Excel table; main core-density supply exposure.
宁夏回族自治区	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	6390000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	2880	1403	4.51	2.2	9	18	beds	persons	Official NATCM Excel table; main core-density supply exposure.
安徽省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	59680000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	16970	8165	2.84	1.37	31	31	beds	persons	Official NATCM Excel table; main core-density supply exposure.
山东省	2011	natcm_2011_extract_a86	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/A86.xlsx	2011	A86	2011年各地区万人口中医类医院床位数及万人口全国中医执业(助理)医师数	official_excel_numeric_extracted	official_natcm_excel_parsed	TCM hospital beds and TCM practicing/assistant physicians per population.	96370000	persons	natcm_2011_extract_a86	NATCM table reports province population in 10,000 persons; converted to persons.	40646	18781	4.22	1.95	11	24	beds	persons	Official NATCM Excel table; main core-density supply exposure.
