province	year	source	source_name	source_url	source_edition	table_id	table_title	extraction_status	quality_flag	institution_scope	mechanism_role	physician_annual_outpatient_emergency_visits	physician_annual_inpatient_bed_days	physician_daily_outpatient_emergency_visits	physician_daily_inpatient_bed_days	notes
上海市	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	4921.94	750.96	19.61	2.06	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
云南省	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	2325.06	1027.04	9.26	2.81	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
内蒙古自治区	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	1305.13	563.09	5.2	1.54	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
北京市	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	3782.57	555.6	15.07	1.52	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
吉林省	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	1253.62	538.52	4.99	1.48	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
四川省	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	1787.23	920.87	7.12	2.52	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
天津市	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	3100.08	567.38	12.35	1.55	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
宁夏回族自治区	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	2603.7	958.22	10.37	2.63	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
安徽省	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	1402.06	786.9	5.59	2.16	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
山东省	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	1247.83	677.58	4.97	1.86	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
山西省	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	920.36	432.86	3.67	1.19	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
广东省	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	3279.54	693.26	13.07	1.9	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
广西壮族自治区	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	1924.8	769.41	7.67	2.11	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
新疆维吾尔自治区	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	1496.13	1390.31	5.96	3.81	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
江苏省	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	2643.26	789.37	10.53	2.16	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
江西省	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	1617.47	792.78	6.44	2.17	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
河北省	2011	natcm_2011_b35	National Administration of Traditional Chinese Medicine 2011 National TCM Statistical Extract	http://www.natcm.gov.cn/2020tjzb/%E5%85%A8%E5%9B%BD%E4%B8%AD%E5%8C%BB%E8%8D%AF%E7%BB%9F%E8%AE%A1%E6%91%98%E7%BC%96/atog/2011/B35.xls	2011	B35	2011年政府办中医类医院按地区分平均每一职工、医师产出情况	official_excel_numeric_extracted	official_natcm_excel_parsed	government-run TCM-category hospitals	province-level physician workload and service-intensity mediator candidate	1163.66	610.85	4.64	1.67	This table does not measure patient-level TCM use; it describes whether registered government-run TCM hospital physicians translate headcount capacity into outpatient/emergency and inpatient service workload.
