age_group	outcome	n_rows	n_nonmissing	n_events	event_rate	n_missing	missing_rate
45-59	broader_tcm_use_2011_2015	37519	28726	2855	0.09938731462786327	8793	0.23436125696313867
45-59	primary_condition_tcm_any	37519	37460	5574	0.14879871863320876	59	0.0015725365814653908
45-59	raw_self_treatment_herbs_medicines	37519	28726	2320	0.08076307178166121	8793	0.23436125696313867
45-59	raw_tcm_hospital_visit	37519	37404	477	0.01275264677574591	115	0.0030651136757376264
45-59	raw_traditional_inpatient_treatment	37519	19346	180	0.009304248940349426	18173	0.4843679202537381
45-59	raw_traditional_outpatient_treatment	37519	28726	217	0.007554132145095036	8793	0.23436125696313867
45-59	strict_tcm_hospital_visit	37519	37404	479	0.01280611699283499	115	0.0030651136757376264
45-59	strict_tcm_hospital_visit_count	37519	27772	368	0.013250756157280715	9747	0.25978837389056214
60-69	broader_tcm_use_2011_2015	22676	16145	2021	0.12517807370703005	6531	0.2880137590403951
60-69	primary_condition_tcm_any	22676	22648	4703	0.2076563051925115	28	0.0012347856764861529
60-69	raw_self_treatment_herbs_medicines	22676	16145	1663	0.1030040260142459	6531	0.2880137590403951
60-69	raw_tcm_hospital_visit	22676	22640	304	0.01342756183745583	36	0.001587581584053625
60-69	raw_traditional_inpatient_treatment	22676	10857	146	0.01344754536243898	11819	0.5212118539424943
60-69	raw_traditional_outpatient_treatment	22676	16145	155	0.00960049550944565	6531	0.2880137590403951
60-69	strict_tcm_hospital_visit	22676	22640	309	0.013648409893992932	36	0.001587581584053625
60-69	strict_tcm_hospital_visit_count	22676	17900	240	0.013407821229050279	4776	0.2106191568177809
70-79	broader_tcm_use_2011_2015	10743	7510	972	0.12942743009320906	3233	0.3009401470725123
70-79	primary_condition_tcm_any	10743	10718	2479	0.2312931517074081	25	0.0023270967141394397
70-79	raw_self_treatment_herbs_medicines	10743	7510	805	0.10719041278295606	3233	0.3009401470725123
70-79	raw_tcm_hospital_visit	10743	10706	148	0.013824023911825144	37	0.003444103136926371
70-79	raw_traditional_inpatient_treatment	10743	5052	86	0.017022961203483768	5691	0.529740296006702
70-79	raw_traditional_outpatient_treatment	10743	7510	53	0.007057256990679095	3233	0.3009401470725123
70-79	strict_tcm_hospital_visit	10743	10706	149	0.013917429478796936	37	0.003444103136926371
70-79	strict_tcm_hospital_visit_count	10743	8442	118	0.013977730395640844	2301	0.21418598156939403
80+	broader_tcm_use_2011_2015	3337	2217	231	0.10419485791610285	1120	0.3356308061132754
80+	primary_condition_tcm_any	3337	3331	632	0.18973281296907835	6	0.0017980221756068325
80+	raw_self_treatment_herbs_medicines	3337	2217	186	0.08389715832205684	1120	0.3356308061132754
80+	raw_tcm_hospital_visit	3337	3323	40	0.012037315678603671	14	0.004195385076415942
80+	raw_traditional_inpatient_treatment	3337	1492	16	0.010723860589812333	1845	0.552891818999101
80+	raw_traditional_outpatient_treatment	3337	2217	18	0.008119079837618403	1120	0.3356308061132754
80+	strict_tcm_hospital_visit	3337	3323	40	0.012037315678603671	14	0.004195385076415942
80+	strict_tcm_hospital_visit_count	3337	2659	29	0.010906355772846935	678	0.20317650584357208
<45	broader_tcm_use_2011_2015	2459	2153	220	0.10218300046446818	306	0.1244408296055307
<45	primary_condition_tcm_any	2459	2449	272	0.11106574111882402	10	0.004066693777958519
<45	raw_self_treatment_herbs_medicines	2459	2153	180	0.08360427310729215	306	0.1244408296055307
<45	raw_tcm_hospital_visit	2459	2453	30	0.01222992254382389	6	0.0024400162667751117
<45	raw_traditional_inpatient_treatment	2459	1641	17	0.010359536867763558	818	0.3326555510370069
<45	raw_traditional_outpatient_treatment	2459	2153	16	0.0074314909428704135	306	0.1244408296055307
<45	strict_tcm_hospital_visit	2459	2453	30	0.01222992254382389	6	0.0024400162667751117
<45	strict_tcm_hospital_visit_count	2459	2073	25	0.0120598166907863	386	0.15697437982919887
NA	broader_tcm_use_2011_2015	168	163	15	0.09202453987730061	5	0.02976190476190476
NA	primary_condition_tcm_any	168	164	17	0.10365853658536585	4	0.023809523809523808
NA	raw_self_treatment_herbs_medicines	168	163	14	0.08588957055214724	5	0.02976190476190476
NA	raw_tcm_hospital_visit	168	164	1	0.006097560975609756	4	0.023809523809523808
NA	raw_traditional_inpatient_treatment	168	93	0	0	75	0.44642857142857145
NA	raw_traditional_outpatient_treatment	168	163	0	0	5	0.02976190476190476
NA	strict_tcm_hospital_visit	168	164	1	0.006097560975609756	4	0.023809523809523808
NA	strict_tcm_hospital_visit_count	168	122	1	0.00819672131147541	46	0.27380952380952384
