wave	year	outcome	n_rows	n_nonmissing	n_events	event_rate	n_missing	missing_rate
1	2011	broader_tcm_use_2011_2015	17601	17545	1294	0.07375320604160729	56	0.003181637406965513
1	2011	primary_condition_tcm_any	17601	17596	2788	0.1584451011593544	5	2.840747684790637e-4
1	2011	raw_self_treatment_herbs_medicines	17601	17545	1013	0.05773724707893987	56	0.003181637406965513
1	2011	raw_tcm_hospital_visit	17601	17545	193	0.011000284981476203	56	0.003181637406965513
1	2011	raw_traditional_inpatient_treatment	17601	17545	81	0.004616699914505557	56	0.003181637406965513
1	2011	raw_traditional_outpatient_treatment	17601	17545	85	0.004844685095468795	56	0.003181637406965513
1	2011	strict_tcm_hospital_visit	17601	17545	193	0.011000284981476203	56	0.003181637406965513
1	2011	strict_tcm_hospital_visit_count	17601	0	0	NA	17601	1
2	2013	broader_tcm_use_2011_2015	18511	18433	2137	0.11593338035045841	78	0.004213710766571228
2	2013	primary_condition_tcm_any	18511	18455	2996	0.16234082904361963	56	0.0030252282426665228
2	2013	raw_self_treatment_herbs_medicines	18511	18433	1816	0.09851896055986546	78	0.004213710766571228
2	2013	raw_tcm_hospital_visit	18511	18433	278	0.015081647046058699	78	0.004213710766571228
2	2013	raw_traditional_inpatient_treatment	18511	0	0	NA	18511	1
2	2013	raw_traditional_outpatient_treatment	18511	18433	169	0.009168339391309066	78	0.004213710766571228
2	2013	strict_tcm_hospital_visit	18511	18433	280	0.015190148103944014	78	0.004213710766571228
2	2013	strict_tcm_hospital_visit_count	18511	18330	262	0.014293507910529187	181	0.009777969855761438
3	2015	broader_tcm_use_2011_2015	20994	20936	2883	0.1377053878486817	58	0.0027626941030770694
3	2015	primary_condition_tcm_any	20994	20967	3700	0.1764677827061573	27	0.0012860817376393256
3	2015	raw_self_treatment_herbs_medicines	20994	20936	2339	0.11172143675964845	58	0.0027626941030770694
3	2015	raw_tcm_hospital_visit	20994	20936	291	0.013899503247993886	58	0.0027626941030770694
3	2015	raw_traditional_inpatient_treatment	20994	20936	364	0.01738632021398548	58	0.0027626941030770694
3	2015	raw_traditional_outpatient_treatment	20994	20936	205	0.009791746274359954	58	0.0027626941030770694
3	2015	strict_tcm_hospital_visit	20994	20936	297	0.014186090943828812	58	0.0027626941030770694
3	2015	strict_tcm_hospital_visit_count	20994	20874	281	0.013461722717255917	120	0.005715918833952558
4	2018	broader_tcm_use_2011_2015	19796	0	0	NA	19796	1
4	2018	primary_condition_tcm_any	19796	19752	4193	0.21228230052652897	44	0.002222671246716508
4	2018	raw_self_treatment_herbs_medicines	19796	0	0	NA	19796	1
4	2018	raw_tcm_hospital_visit	19796	19776	238	0.012034789644012944	20	0.0010103051121438675
4	2018	raw_traditional_inpatient_treatment	19796	0	0	NA	19796	1
4	2018	raw_traditional_outpatient_treatment	19796	0	0	NA	19796	1
4	2018	strict_tcm_hospital_visit	19796	19776	238	0.012034789644012944	20	0.0010103051121438675
4	2018	strict_tcm_hospital_visit_count	19796	19764	238	0.012042096741550294	32	0.0016164881794301878
