check_type	detail	outcome	supply_indicator	effect_type	effect	ci_lower	ci_upper	pvalue	n_persons	n_person_waves	n_events	event_percent	n_clusters	fixed_effects	covariate_set	source_table
main_cluster_robust	all provinces	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.05803	0.18707	3.92899	0.03231	13138	32914	7079	21.50757	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out_summary	effect range across omitted provinces	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.08074	0.96055	2.35508	NA	13138	32914	7079	21.50757	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
province_cluster_bootstrap	499 weighted cluster-bootstrap replicates	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	1.99369	-0.75773	3.61824	NA	13138	32914	7079	21.50757	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	上海市	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.03915	0.14198	3.93633	0.03616	13080	32797	7052	21.50197	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	云南省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.28043	0.45228	4.10858	0.01647	12353	31009	6470	20.86491	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	内蒙古自治区	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	0.96055	-1.30078	3.22189	0.39058	12591	31689	6686	21.0988	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	北京市	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.20474	0.41833	3.99116	0.01753	13053	32722	7037	21.50541	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	吉林省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	1.77914	-0.13076	3.68904	0.06658	12835	32185	6842	21.25835	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	四川省	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.35508	0.70719	4.00297	0.00684	11893	29553	5983	20.24498	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_province_out	天津市	Any disease/condition-specific Chinese medicine treatment use	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year supply	2.23328	0.42973	4.03683	0.01719	13038	32703	7038	21.52096	27	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
