scenario	omitted_components	retained_component_count	outcome_prevalence_percent	effect_type	effect	ci_lower	ci_upper	pvalue	n_persons	n_person_waves	n_clusters	fixed_effects	source_table
primary_composite_reproduction	none	13	21.50757	percentage-point difference per 1 SD higher province-year TCM hospital bed density	2.05803	0.18707	3.92899	0.03231	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_out_dyslipidemia	condition_tcm_dyslipidemia	12	20.99411	percentage-point difference per 1 SD higher province-year TCM hospital bed density	1.9998	0.2218	3.7778	0.02891	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_out_chronic_lung	condition_tcm_chronic_lung	12	20.21024	percentage-point difference per 1 SD higher province-year TCM hospital bed density	1.99512	0.03369	3.95655	0.04645	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_out_liver	condition_tcm_liver	12	21.28578	percentage-point difference per 1 SD higher province-year TCM hospital bed density	1.9589	0.05152	3.86629	0.04452	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_out_heart	condition_tcm_heart	12	19.9125	percentage-point difference per 1 SD higher province-year TCM hospital bed density	2.05073	0.44874000000000003	3.65273	0.01404	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_out_kidney	condition_tcm_kidney	12	20.98499	percentage-point difference per 1 SD higher province-year TCM hospital bed density	1.96176	0.13066	3.79286	0.03669	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_out_digestive	condition_tcm_digestive	12	19.29878	percentage-point difference per 1 SD higher province-year TCM hospital bed density	1.58734	0.15714	3.01754	0.03091	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_out_memory	condition_tcm_memory	12	21.42553	percentage-point difference per 1 SD higher province-year TCM hospital bed density	2.06242	0.13878	3.98606	0.03656	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_out_arthritis	condition_tcm_arthritis	12	17.22671	percentage-point difference per 1 SD higher province-year TCM hospital bed density	2.12786	0.03049	4.22522	0.04698	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_out_hypertension	condition_tcm_hypertension	12	19.77578	percentage-point difference per 1 SD higher province-year TCM hospital bed density	1.87266	0.22945	3.51587	0.02702	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_out_diabetes	condition_tcm_diabetes	12	21.04576	percentage-point difference per 1 SD higher province-year TCM hospital bed density	2.22973	0.3823	4.07715	0.01983	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_out_cancer	condition_tcm_cancer	12	21.36781	percentage-point difference per 1 SD higher province-year TCM hospital bed density	2.19398	0.3492	4.03877	0.02152	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_out_stroke_chinese_medicine	condition_tcm_stroke_chinese_medicine	12	21.18248	percentage-point difference per 1 SD higher province-year TCM hospital bed density	1.85031	-0.05321	3.75384	0.05629	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
leave_one_out_stroke_acupuncture_moxibustion	condition_tcm_stroke_acupuncture_moxibustion	12	21.31008	percentage-point difference per 1 SD higher province-year TCM hospital bed density	2.11811	0.20474	4.03148	0.03131	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
omit_cardiometabolic	condition_tcm_dyslipidemia; condition_tcm_heart; condition_tcm_hypertension; condition_tcm_diabetes; condition_tcm_stroke_chinese_medicine; condition_tcm_stroke_acupuncture_moxibustion	7	15.35821	percentage-point difference per 1 SD higher province-year TCM hospital bed density	1.47241	0.24667	2.69816	0.02036	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
omit_musculoskeletal	condition_tcm_arthritis	12	17.22671	percentage-point difference per 1 SD higher province-year TCM hospital bed density	2.12786	0.03049	4.22522	0.04698	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
omit_digestive_hepatorenal	condition_tcm_liver; condition_tcm_kidney; condition_tcm_digestive	10	18.36301	percentage-point difference per 1 SD higher province-year TCM hospital bed density	1.47668	0.06962	2.88374	0.04038	13138	32914	28	province and survey year	results/tcm/person_wave_tcm_core_density_analysis.tsv
