model	model_label	term	term_label	effect_type	effect	ci_lower	ci_upper	cluster_pvalue	wild_cluster_pvalue	wild_cluster_reps_requested	wild_cluster_reps_valid	wild_cluster_weight	wild_cluster_null_imposed	n_persons	n_person_waves	n_clusters	fixed_effects	individual_covariates	contextual_covariates
C0	Individual covariates	z_tcm_beds	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	2.05803	0.18707	3.92899	0.03231	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	
C1	Add comprehensive-hospital bed density	z_tcm_beds	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	2.49872	1.00268	3.99477	0.00197	0.1183	9999	9999	Webb six-point	TRUE	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_comprehensive_beds
C1	Add comprehensive-hospital bed density	z_comprehensive_beds	Comprehensive-hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	-1.87256	-4.62034	0.87521	0.17341	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_comprehensive_beds
C2	Add provincial GDP per capita and urbanization	z_tcm_beds	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	2.00309	-0.00199	4.00818	0.05021	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_log_gdp; z_urbanization
C2	Add provincial GDP per capita and urbanization	z_log_gdp	Log provincial GDP per capita	percentage-point difference per 1 SD higher province-year measure	-0.33654	-4.35768	3.68459	0.86493	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_log_gdp; z_urbanization
C2	Add provincial GDP per capita and urbanization	z_urbanization	Urban population share	percentage-point difference per 1 SD higher province-year measure	0.89333	-7.29021	9.07687	0.82446	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_log_gdp; z_urbanization
C3	Joint health-system and socioeconomic adjustment	z_tcm_beds	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	2.66802	0.92077	4.41526	0.00414	0.0715	9999	9999	Webb six-point	TRUE	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_comprehensive_beds; z_log_gdp; z_urbanization
C3	Joint health-system and socioeconomic adjustment	z_comprehensive_beds	Comprehensive-hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	-2.81258	-5.17423	-0.45094	0.02136	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_comprehensive_beds; z_log_gdp; z_urbanization
C3	Joint health-system and socioeconomic adjustment	z_log_gdp	Log provincial GDP per capita	percentage-point difference per 1 SD higher province-year measure	0.30084	-3.5881	4.18978	0.87507	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_comprehensive_beds; z_log_gdp; z_urbanization
C3	Joint health-system and socioeconomic adjustment	z_urbanization	Urban population share	percentage-point difference per 1 SD higher province-year measure	4.17171	-3.38353	11.72694	0.2672	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_comprehensive_beds; z_log_gdp; z_urbanization
C4	Add province-level population aging	z_tcm_beds	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	2.53787	0.56991	4.50583	0.01342	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_comprehensive_beds; z_log_gdp; z_urbanization; z_age_65_plus
C4	Add province-level population aging	z_comprehensive_beds	Comprehensive-hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	-2.60661	-5.44193	0.22871	0.07005	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_comprehensive_beds; z_log_gdp; z_urbanization; z_age_65_plus
C4	Add province-level population aging	z_log_gdp	Log provincial GDP per capita	percentage-point difference per 1 SD higher province-year measure	-0.12624	-4.59608	4.34361	0.95422	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_comprehensive_beds; z_log_gdp; z_urbanization; z_age_65_plus
C4	Add province-level population aging	z_urbanization	Urban population share	percentage-point difference per 1 SD higher province-year measure	4.09018	-3.35173	11.53209	0.26936	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_comprehensive_beds; z_log_gdp; z_urbanization; z_age_65_plus
C4	Add province-level population aging	z_age_65_plus	Population aged 65 years or older	percentage-point difference per 1 SD higher province-year measure	-0.52308	-2.54302	1.49687	0.59953	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_comprehensive_beds; z_log_gdp; z_urbanization; z_age_65_plus
C5	Alternative adjustment using total hospital beds	z_tcm_beds	TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	3.87236	1.68034	6.06438	0.00118	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_total_hospital_beds; z_log_gdp; z_urbanization
C5	Alternative adjustment using total hospital beds	z_total_hospital_beds	All hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	-4.40302	-7.34511	-1.46094	0.00483	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_total_hospital_beds; z_log_gdp; z_urbanization
C5	Alternative adjustment using total hospital beds	z_log_gdp	Log provincial GDP per capita	percentage-point difference per 1 SD higher province-year measure	1.09932	-3.06868	5.26731	0.59282	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_total_hospital_beds; z_log_gdp; z_urbanization
C5	Alternative adjustment using total hospital beds	z_urbanization	Urban population share	percentage-point difference per 1 SD higher province-year measure	2.93626	-4.66654	10.53906	0.43502	NA	NA	NA	NA	NA	13138	32914	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	z_total_hospital_beds; z_log_gdp; z_urbanization
