stratum	stratum_level	supply_indicator	model	effect_type	effect	ci_lower	ci_upper	pvalue	n_persons	n_person_waves	events	cluster_level	n_clusters	status
equity_rural_community	rural	TCM physicians per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	-1.11269	-5.87024	3.64486	0.63368	7744	20172	4186	province	25	estimated
equity_rural_community	rural	TCM hospital beds per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	2.9009	0.67411	5.12768	0.01283	7744	20172	4186	province	25	estimated
equity_rural_community	urban	TCM physicians per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	-0.14723	-3.81146	3.517	0.93481	5394	12742	2893	province	27	estimated
equity_rural_community	urban	TCM hospital beds per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	1.03169	-1.96704	4.03043	0.48574	5394	12742	2893	province	27	estimated
equity_education	higher_education	TCM physicians per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	-1.83318	-15.04578	11.37942	0.77806	1174	2454	603	province	28	estimated
equity_education	higher_education	TCM hospital beds per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	-2.9984	-11.73113	5.73434	0.48715	1174	2454	603	province	28	estimated
equity_education	lower_education	TCM physicians per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	-0.71681	-4.41079	2.97717	0.69365	11964	30460	6476	province	28	estimated
equity_education	lower_education	TCM hospital beds per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	2.62007	1.0408	4.19934	0.00209	11964	30460	6476	province	28	estimated
equity_income	higher_income	TCM physicians per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	2.95593	-2.42986	8.34172	0.27002	5883	9150	2138	province	28	estimated
equity_income	higher_income	TCM hospital beds per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	2.17349	-0.96905	5.31602	0.16731	5883	9150	2138	province	28	estimated
equity_income	income_missing	TCM physicians per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	-2.66721	-7.62198	2.28756	0.27911	8178	12250	2546	province	28	estimated
equity_income	income_missing	TCM hospital beds per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	1.75178	-1.2039	4.70746	0.23448	8178	12250	2546	province	28	estimated
equity_income	lower_income	TCM physicians per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	-2.04691	-5.59728	1.50346	0.24714	7005	11514	2395	province	28	estimated
equity_income	lower_income	TCM hospital beds per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	2.23642	0.14576	4.32708	0.03695	7005	11514	2395	province	28	estimated
equity_multichronic	multimorbidity	TCM physicians per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	-0.32151	-5.16978	4.52677	0.89278	8619	18047	5622	province	28	estimated
equity_multichronic	multimorbidity	TCM hospital beds per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	1.35831	-1.24589	3.96252	0.294	8619	18047	5622	province	28	estimated
equity_multichronic	no_multimorbidity	TCM physicians per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	-2.89322	-6.67687	0.89042	0.1283	7046	14867	1457	province	28	estimated
equity_multichronic	no_multimorbidity	TCM hospital beds per 10,000 population	E1_covariate_adjusted_lpm	percentage-point difference per 1 SD higher province-year supply	1.55797	-0.83448	3.95041	0.19265	7046	14867	1457	province	28	estimated
