check_type	model	outcome	term	term_label	effect_type	effect	ci_lower	ci_upper	cluster_pvalue	n_persons	n_person_waves	n_clusters	analysis_years	fixed_effects	interpretation_boundary
future-exposure falsification	F1_future_exposure	Any disease/condition-specific Chinese medicine treatment use	z_tcm_beds	Concurrent TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	2.35685	-4.95239	9.66609	0.51383	10797	23276	28	2011;2013;2015	province and survey year	A next-wave association conditional on concurrent supply would weaken temporal interpretation; absence is supportive but not proof against time-varying confounding.
future-exposure falsification	F1_future_exposure	Any disease/condition-specific Chinese medicine treatment use	z_future_tcm_beds	Next-wave TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	0.66585	-2.00926	3.34096	0.6137	10797	23276	28	2011;2013;2015	province and survey year	A next-wave association conditional on concurrent supply would weaken temporal interpretation; absence is supportive but not proof against time-varying confounding.
general-utilization specificity outcome	F2_general_outpatient	Any doctor visit or outpatient care in the past month	z_tcm_beds	Concurrent TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	1.79363	0.58313	3.00412	0.0052	13134	32867	28	2011;2013;2015;2018	province and survey year	This all-cause outcome can include TCM care and is not a strict non-TCM negative-control outcome.
general-utilization specificity outcome	F2_general_outpatient	Any doctor visit or outpatient care in the past month	z_comprehensive_beds	Comprehensive-hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	-1.11252	-4.28192	2.05687	0.47757	13134	32867	28	2011;2013;2015;2018	province and survey year	This all-cause outcome can include TCM care and is not a strict non-TCM negative-control outcome.
general-utilization specificity outcome	F2_general_outpatient	Any doctor visit or outpatient care in the past month	z_log_gdp	Log provincial GDP per capita	percentage-point difference per 1 SD higher province-year measure	2.27149	-1.85349	6.39647	0.26847	13134	32867	28	2011;2013;2015;2018	province and survey year	This all-cause outcome can include TCM care and is not a strict non-TCM negative-control outcome.
general-utilization specificity outcome	F2_general_outpatient	Any doctor visit or outpatient care in the past month	z_urbanization	Urban population share	percentage-point difference per 1 SD higher province-year measure	-9.09907	-15.84827	-2.34987	0.01011	13134	32867	28	2011;2013;2015;2018	province and survey year	This all-cause outcome can include TCM care and is not a strict non-TCM negative-control outcome.
general-utilization specificity outcome	F3_general_inpatient	Any hospital stay in the past year	z_tcm_beds	Concurrent TCM hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	0.78105	-0.86668	2.42879	0.33939	13134	32886	28	2011;2013;2015;2018	province and survey year	This all-cause outcome can include TCM care and is not a strict non-TCM negative-control outcome.
general-utilization specificity outcome	F3_general_inpatient	Any hospital stay in the past year	z_comprehensive_beds	Comprehensive-hospital beds per 10,000 population	percentage-point difference per 1 SD higher province-year measure	-1.0027	-3.24374	1.23833	0.36672	13134	32886	28	2011;2013;2015;2018	province and survey year	This all-cause outcome can include TCM care and is not a strict non-TCM negative-control outcome.
general-utilization specificity outcome	F3_general_inpatient	Any hospital stay in the past year	z_log_gdp	Log provincial GDP per capita	percentage-point difference per 1 SD higher province-year measure	2.14491	-1.03783	5.32766	0.17807	13134	32886	28	2011;2013;2015;2018	province and survey year	This all-cause outcome can include TCM care and is not a strict non-TCM negative-control outcome.
general-utilization specificity outcome	F3_general_inpatient	Any hospital stay in the past year	z_urbanization	Urban population share	percentage-point difference per 1 SD higher province-year measure	4.44012	-2.42038	11.30061	0.19531	13134	32886	28	2011;2013;2015;2018	province and survey year	This all-cause outcome can include TCM care and is not a strict non-TCM negative-control outcome.
