outcome	status	effect_type	effect	ci_lower	ci_upper	pvalue	n_persons	n_person_waves	n_events	event_percent	n_clusters	fixed_effects	covariate_set	source_table
condition_tcm_dyslipidemia	modeled	percentage-point difference per 1 SD higher TCM hospital bed density	0.64971	0.10685	1.19258	0.02078	13083	32634	748	2.29209	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
condition_tcm_chronic_lung	modeled	percentage-point difference per 1 SD higher TCM hospital bed density	0.40521	-0.60612	1.41653	0.41822	13083	32634	1086	3.32782	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
condition_tcm_liver	modeled	percentage-point difference per 1 SD higher TCM hospital bed density	0.51934	0.18035	0.85833	0.00403	13083	32634	294	0.9009	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
condition_tcm_heart	modeled	percentage-point difference per 1 SD higher TCM hospital bed density	0.77658	-0.1014	1.65456	0.08067	13083	32634	1458	4.46773	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
condition_tcm_kidney	modeled	percentage-point difference per 1 SD higher TCM hospital bed density	0.03128	-0.30851	0.37106	0.85161	13083	32634	593	1.81712	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
condition_tcm_digestive	modeled	percentage-point difference per 1 SD higher TCM hospital bed density	1.35747	-0.03113	2.74607	0.05499	13083	32634	1740	5.33186	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
condition_tcm_memory	modeled	percentage-point difference per 1 SD higher TCM hospital bed density	0.2721	0.02615	0.51805	0.0314	13083	32634	162	0.49641	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
condition_tcm_arthritis	modeled	percentage-point difference per 1 SD higher TCM hospital bed density	0.634	-0.50286	1.77086	0.26256	13083	32634	2713	8.31342	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
condition_tcm_hypertension	modeled	percentage-point difference per 1 SD higher TCM hospital bed density	0.96731	-0.12579	2.06041	0.08054	13083	32634	1454	4.45548	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
condition_tcm_diabetes	modeled	percentage-point difference per 1 SD higher TCM hospital bed density	-0.2518	-0.62602	0.12243	0.17873	13083	32634	425	1.30232	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
condition_tcm_cancer	modeled	percentage-point difference per 1 SD higher TCM hospital bed density	0.01388	-0.0875	0.11526	0.78094	13083	32634	107	0.32788	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
condition_tcm_stroke_chinese_medicine	modeled	percentage-point difference per 1 SD higher TCM hospital bed density	0.9366	0.55772	1.31548	3e-5	13083	32634	414	1.26862	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
condition_tcm_stroke_acupuncture_moxibustion	modeled	percentage-point difference per 1 SD higher TCM hospital bed density	0.08587	-0.18689	0.35862	0.52377	13083	32634	155	0.47496	28	province and survey year	age_model; I(age_model^2); female; education_group; married_or_partnered; rural_community; agricultural_hukou; public_insurance; chronic_count; any_adl_limitation; poor_self_rated_health; household_income_quartile	results/tcm/person_wave_tcm_core_density_analysis.tsv
