evidence_domain	outcome	exposure	model	effect_type	estimate	ci_lower	ci_upper	pvalue	small_cluster_pvalue	n_clusters	reading
Primary outcome	Disease-specific TCM treatment use	TCM practicing/assistant physicians per 10,000 population	Individual covariates, province fixed effects, and survey-year fixed effects	percentage-point difference per 1-SD higher province-year measure	-0.78167	-4.62385	3.06051	0.67966	NA	28	Physician headcount did not show a parallel positive association.
Primary outcome	Disease-specific TCM treatment use	TCM hospital beds per 10,000 population	Individual covariates, province fixed effects, and survey-year fixed effects	percentage-point difference per 1-SD higher province-year measure	2.11084	0.09243	4.12924	0.04104	0.1977	28	Institutional TCM capacity was positively associated with realized TCM treatment use, but small-cluster inference was less precise.
Strict TCM institution use	TCM hospital visit in the past month	TCM practicing/assistant physicians per 10,000 population	Individual covariates, province fixed effects, and survey-year fixed effects	percentage-point difference per 1-SD higher province-year measure	-0.01972	-0.63152	0.59207	0.94775	NA	28	The strict institution-use endpoint was rare and showed smaller, imprecise associations.
Strict TCM institution use	TCM hospital visit in the past month	TCM hospital beds per 10,000 population	Individual covariates, province fixed effects, and survey-year fixed effects	percentage-point difference per 1-SD higher province-year measure	0.3615	0.08852	0.63447	0.01135	NA	28	The strict institution-use endpoint was rare and showed smaller, imprecise associations.
Health-system context	Disease-specific TCM treatment use	TCM hospital beds per 10,000 population	TCM and comprehensive-hospital bed densities entered jointly	percentage-point difference per 1-SD higher province-year measure	2.60281	1.03559	4.17002	0.00207	0.1296	28	The TCM bed association was not explained by comprehensive-hospital bed density in the same model.
Health-system context	Disease-specific TCM treatment use	Comprehensive-hospital beds per 10,000 population	TCM and comprehensive-hospital bed densities entered jointly	percentage-point difference per 1-SD higher province-year measure	-2.08313	-4.88541	0.71915	0.13882	NA	28	Comprehensive-hospital bed density did not show a positive association with TCM treatment use.
Broader health-care use	Any doctor visit or outpatient care in the past month	Concurrent TCM hospital beds per 10,000 population	General utilization model with health-system and socioeconomic context	percentage-point difference per 1-SD higher province-year measure	1.97153	0.74885	3.1942	0.00266	NA	28	Broader utilization outcomes help judge whether TCM capacity is also marking wider care-seeking or service expansion.
Broader health-care use	Any doctor visit or outpatient care in the past month	Comprehensive-hospital beds per 10,000 population	General utilization model with health-system and socioeconomic context	percentage-point difference per 1-SD higher province-year measure	-1.61836	-4.8329	1.59618	0.31077	NA	28	Broader utilization outcomes help judge whether TCM capacity is also marking wider care-seeking or service expansion.
Broader health-care use	Any hospital stay in the past year	Concurrent TCM hospital beds per 10,000 population	General utilization model with health-system and socioeconomic context	percentage-point difference per 1-SD higher province-year measure	0.7927	-0.92785	2.51325	0.35287	NA	28	Broader utilization outcomes help judge whether TCM capacity is also marking wider care-seeking or service expansion.
Broader health-care use	Any hospital stay in the past year	Comprehensive-hospital beds per 10,000 population	General utilization model with health-system and socioeconomic context	percentage-point difference per 1-SD higher province-year measure	-1.03181	-3.32853	1.2649	0.3648	NA	28	Broader utilization outcomes help judge whether TCM capacity is also marking wider care-seeking or service expansion.
Joint resource model	Disease-specific TCM treatment use	Concurrent TCM hospital beds per 10,000 population	TCM bed, TCM physician, comprehensive-hospital bed, GDP, and urbanization entered jointly	percentage-point difference per 1-SD higher province-year measure	3.18028	1.40818	4.95239	0.00102	NA	28	Bed density retained the positive association in the joint resource model.
Joint resource model	Disease-specific TCM treatment use	Concurrent TCM practicing/assistant physicians per 10,000 population	TCM bed, TCM physician, comprehensive-hospital bed, GDP, and urbanization entered jointly	percentage-point difference per 1-SD higher province-year measure	-2.18523	-5.37657	1.00612	0.17143	NA	28	Physician density did not translate into higher realized use in the same period.
Joint resource model	Disease-specific TCM treatment use	Comprehensive-hospital beds per 10,000 population	TCM bed, TCM physician, comprehensive-hospital bed, GDP, and urbanization entered jointly	percentage-point difference per 1-SD higher province-year measure	-2.88235	-5.16752	-0.59718	0.01535	NA	28	Comprehensive-hospital bed density did not account for the TCM bed association.
